github.com/AlDanial/cloc v 2.02  T=126.91 s (182.7 files/s, 43938.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Python                       12949         700511         985393        2772133
C/C++ Header                  8687          98352          94392         431796
C                               59           8153          34449         148497
CSV                             41              0              0         130845
JSON                           168            231              0          26930
CSS                             19           1618           1623          19486
YAML                            21           3355           1018          16732
SVG                             18              4             13          14682
CUDA                            54           2103           1735          13137
JavaScript                     610           1174            890          12110
Markdown                        21           2333              7           8899
XSLT                             3            699            467           7525
Cython                          31           1305           1373           5826
CMake                           28            880           1682           4029
Text                           197            687              0           3688
C++                             40            666            438           3203
Jinja Template                  32            341            177           2185
SQL                              4              0              0           1405
HTML                            29            157             35            871
Fortran 90                      49            107             82            826
TOML                             5             55            127            682
PO File                          3            270            288            666
Bourne Shell                    49             10             49            447
Perl                            16             54              0            383
Fortran 77                      20             20             50            362
reStructuredText                 8             97              1            347
ANTLR Grammar                    2             84             11            335
PowerShell                       1             49             90            108
XML                              3              0              1            102
Qt                               2              0              0             77
Meson                            2             13              3             65
INI                              4             15              0             46
Fish Shell                       1             13             13             40
DOS Batch                        2             13              9             34
make                             1              3              2             19
Starlark                         2              1              0             17
C Shell                          1              9              5             12
Lua                              1              0              1              2
-------------------------------------------------------------------------------
SUM:                         23183         823382        1124424        3628549
-------------------------------------------------------------------------------
